NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
1520,21-0332-12L.S202302,2023-02-20 21:32,12.821,-90.425,8.1,3.7,     ,  3.7,     ,9,0.7, 309,  15.3,   8.5,  20.3, L  ,-,      ,      ,     ,cortical
1521,21-0709-19L.S202302,2023-02-21 01:09,13.6,-90.78,12.0,2.9,  2.9,     ,     ,22,0.8,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1522,21-0726-41L.S202302,2023-02-21 01:26,14.04,-89.84,5.0,1.6,  1.6,     ,     ,6,0.06,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1523,21-0902-54L.S202302,2023-02-21 03:02,14.08,-89.83,4.0,1.7,  1.7,     ,     ,8,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1524,21-1110-20L.S202302,2023-02-21 05:10,14.07,-89.85,1.0,1.7,  1.7,     ,     ,9,0.11,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1525,21-1116-34L.S202302,2023-02-21 05:16,13.54,-90.09,48.0,2.5,  2.5,     ,     ,9,0.32,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1526,21-1145-54L.S202302,2023-02-21 05:45,13.13,-89.48,17.0,2.8,  2.8,     ,     ,13,0.53,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1527,21-2028-49L.S202302,2023-02-21 14:28,13.62,-90.95,24.0,2.8,  2.8,     ,     ,19,0.4,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1528,21-2227-24L.S202302,2023-02-21 16:27,14.071,-89.872,4.2,2.3,  2.3,     ,     ,6,0.13, 212,   2.3,   4.1,  2.9 , L  ,-,      ,      ,     ,cortical
1529,22-0131-44L.S202302,2023-02-21 19:31,14.045,-89.831,5.7,2.0,  2.0,     ,     ,9,0.2,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1530,22-0425-48L.S202302,2023-02-21 22:25,13.15,-89.84,10.8,4.6,  4.6,     ,     ,25,0.53,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
